# ----------------------------------------,,,,,,
# Dashboard report,,,,,,
# ----------------------------------------,,,,,,
# Active users,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Day,28-Day,7-Day,1-Day,,,
0,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,0,0,0,,,
11,0,0,0,,,
12,0,0,0,,,
13,0,0,0,,,
14,0,0,0,,,
15,0,0,0,,,
16,0,0,0,,,
17,0,0,0,,,
18,0,0,0,,,
19,0,0,0,,,
20,0,0,0,,,
21,0,0,0,,,
22,0,0,0,,,
23,0,0,0,,,
24,0,0,0,,,
25,0,0,0,,,
26,1,1,1,,,
27,1,1,1,,,
,,,,,,
# Top conversion events,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Day,,,,,,
,,,,,,
,,,,,,
# Daily user engagement,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Day,Average engagement time,,,,,
0,0,,,,,
1,0,,,,,
2,0,,,,,
3,0,,,,,
4,0,,,,,
5,0,,,,,
6,0,,,,,
7,0,,,,,
8,0,,,,,
9,0,,,,,
10,0,,,,,
11,0,,,,,
12,0,,,,,
13,0,,,,,
14,0,,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
19,0,,,,,
20,0,,,,,
21,0,,,,,
22,0,,,,,
23,0,,,,,
24,0,,,,,
25,0,,,,,
26,4753,,,,,
27,8044,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Page path and screen class,User engagement,Average engagement time,,,,
MainActivity,0.997112449,208.3793103,,,,
SplashActivity,0.002227539,0.20610687,,,,
NoNetwork,0.000660012,8,,,,
,,,,,,
# Total revenue,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Day,Total revenue,,,,,
,,,,,,
,,,,,,
# Crash-free users,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Day,Total users,,,,,
0,0,,,,,
1,0,,,,,
2,0,,,,,
3,0,,,,,
4,0,,,,,
5,0,,,,,
6,0,,,,,
7,0,,,,,
8,0,,,,,
9,0,,,,,
10,0,,,,,
11,0,,,,,
12,0,,,,,
13,0,,,,,
14,0,,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
19,0,,,,,
20,0,,,,,
21,0,,,,,
22,0,,,,,
23,0,,,,,
24,0,,,,,
25,0,,,,,
26,1,,,,,
27,1,,,,,
,,,,,,
# App version adoption,,,,,,
# Start date: 20210201,,,,,,
# End date: 20210202,,,,,,
Latest release,Status,% of active users,Crash-free users,,,
1,Successful,1,1,,,
,,,,,,
# Acquisition,,,,,,
# Start date: 20201005,,,,,,
# End date: 20210201,,,,,,
Source,first_open conversions,LTV,,,,
(direct),1,0,,,,
,,,,,,
# Retention cohorts,,,,,,
# Start date: 20201220,,,,,,
# End date: 20210130,,,,,,
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Dec 20 - Dec 26,0,0,0,0,0,0
Dec 27 - Jan 2,0,0,0,0,0,-1
Jan 3 - Jan 9,0,0,0,0,-1,-1
Jan 10 - Jan 16,0,0,0,-1,-1,-1
Jan 17 - Jan 23,0,0,-1,-1,-1,-1
Jan 24 - Jan 30,0,-1,-1,-1,-1,-1
,,,,,,
# Audience,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Country ID,Sessions,% Total,,,,
US,4,1,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Device model,Users,,,,,
Pixel 3a,1,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
OS with version,Users,,,,,
Android 10,1,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Gender,Users,,,,,
,,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Category,,,,,,
,,,,,,
,,,,,,
# Audience,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Platform,Users,,,,,
"[""Android""]",1,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Platform,Users,,,,,
Android,1,,,,,
,,,,,,
# Start date: 20210105,,,,,,
# End date: 20210201,,,,,,
Platform,Users,% Total,User engagement,Total revenue,,
Android,1,1,6398.5,0,,
